,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,World,"236,676,969","+104,748","4,833,313","+2,636","213,781,105","+79,330","18,062,551","85,244","30,363",620.1,
1,1,USA,"44,781,200",,"724,728 ",,"34,282,121",,"9,774,351","18,554","134,297","2,173"
2,2,India,"33,871,881","+1,496","449,568 ",,"33,175,656","+7,601","246,657","8,944","24,245",322
3,3,Brazil,"21,499,074",,"598,871 ",,"20,488,785",,"411,418","8,318","100,246","2,792"
4,4,UK,"7,967,985",,"137,152 ",,"6,491,069",,"1,339,764",769,"116,601","2,007"
5,5,Russia,"7,662,560","+25,133","212,625 ",+929,"6,778,900","+19,841","671,035","2,300","52,478","1,456"
6,6,Turkey,"7,296,879",,"65,137 ",,"6,751,667",,"480,075",633,"85,362",762
7,7,France,"7,033,755",,"116,923 ",,"6,809,681",,"107,151","1,355","107,459","1,786"
8,8,Iran,"5,651,961",,"121,563 ",,"5,135,887",,"394,511","5,665","66,224","1,424"
9,9,Argentina,"5,261,935",,"115,323 ",,"5,126,085",,"20,527","1,021","115,095","2,522"
10,10,Spain,"4,967,200",,"86,621 ",,"4,791,228",,"89,351",604,"106,188","1,852"
11,11,Colombia,"4,964,454",,"126,455 ",,"4,807,507",,"30,492",342,"96,274","2,452"
12,12,Italy,"4,686,109",,"131,118 ",,"4,464,692",,"90,299",433,"77,649","2,173"
13,13,Germany,"4,272,750",,"94,419  ",,"4,032,400",,"145,931","1,336","50,793","1,122"
14,14,Indonesia,"4,223,094","+1,484","142,413 ",+75,"4,052,300","+2,851","28,381",,"15,237",514
15,15,Mexico,"3,691,924","+7,682","279,894 ",+790,"3,051,093","+6,957","360,937","4,798","28,261","2,143"
16,16,Poland,"2,914,962","+2,085","75,774 ",+33,"2,665,251",+12,"173,937",190,"77,127","2,005"
17,17,South Africa,"2,907,619",,"87,922 ",,"2,783,018",,"36,679",546,"48,259","1,459"
18,18,Philippines,"2,622,917","+9,868","38,828 ",,"2,471,282",+133,"112,807","3,194","23,542",348
19,19,Ukraine,"2,482,518","+12,662","57,526 ",+320,"2,273,382","+4,630","151,610",177,"57,198","1,325"
20,20,Malaysia,"2,294,457",,"26,876 ",,"2,131,636",,"135,945",867,"69,766",817
21,21,Peru,"2,180,149",,"199,520 ",,N/A,N/A,N/A,977,"64,982","5,947"
22,22,Iraq,"2,014,104",,"22,420 ",,"1,928,896",,"62,788",404,"48,701",542
23,23,Netherlands,"2,011,530",,"18,191 ",,"1,936,042",,"57,297",133,"117,067","1,059"
24,24,Japan,"1,706,675",+982,"17,789 ",+33,"1,671,725","+2,785","17,161",612,"13,546",141
25,25,Czechia,"1,696,016","+1,108","30,485 ",,"1,656,982",+30,"8,549",47,"158,004","2,840"
26,26,Thailand,"1,667,097","+9,866","17,305 ",+102,"1,541,770","+10,115","108,022","3,324","23,809",247
27,27,Chile,"1,657,749",,"37,506 ",,"1,613,029",,"7,214",379,"85,792","1,941"
28,28,Canada,"1,643,420",,"28,050 ",,"1,572,982",,"42,388",776,"43,068",735
29,29,Bangladesh,"1,559,452",,"27,614 ",,"1,520,296",,"11,542","1,408","9,352",166
30,30,Israel,"1,297,726",+761,"7,855 ",,"1,253,835","+1,025","36,036",487,"139,151",842
31,31,Romania,"1,289,156",,"37,929 ",,"1,139,310",,"111,917","1,480","67,581","1,988"
32,32,Pakistan,"1,253,868","+1,212","27,986 ",+39,"1,181,054","+2,171","44,828","3,079","5,541",124
33,33,Belgium,"1,253,587","+1,730","25,640 ",+8,"1,166,396",,"61,551",211,"107,575","2,200"
34,34,Sweden,"1,155,534",,"14,836 ",,"1,116,715",,"23,983",39,"113,526","1,458"
35,35,Portugal,"1,072,037",,"18,004 ",,"1,024,149",,"29,884",62,"105,524","1,772"
36,36,Serbia,"974,179",,"8,481 ",,"837,684",,"128,014",269,"112,065",976
37,37,Morocco,"936,236",,"14,372 ",,"911,738",,"10,126",365,"24,992",384
38,38,Cuba,"900,512",,"7,663 ",,"870,499",,"22,350",326,"79,565",677
39,39,Kazakhstan,"896,162","+1,828","11,389 ",+39,"835,805","+3,307","48,968",221,"47,019",598
40,40,Switzerland,"845,233",,"11,120 ",,"777,746",,"56,367",168,"96,771","1,273"
41,41,Jordan,"828,572",,"10,762 ",,"804,784",,"13,026",430,"80,205","1,042"
42,42,Hungary,"825,799",+629,"30,253 ",+7,"787,230",+347,"8,316",79,"85,758","3,142"
43,43,Vietnam,"818,324",,"19,979 ",,"747,053",,"51,292",,"8,313",203
44,44,Nepal,"798,766",,"11,180 ",,"771,338",,"16,248",,"26,808",375
45,45,Austria,"753,832","+2,693","11,061 ",+12,"722,586","+1,999","20,185",223,"83,102","1,219"
46,46,UAE,"737,073",,"2,104 ",,"730,093",,"4,876",,"73,408",210
47,47,Tunisia,"708,788",,"24,966 ",,"679,712",,"4,110",205,"59,192","2,085"
48,48,Greece,"666,517",,"14,991 ",,"624,001",,"27,525",334,"64,343","1,447"
49,49,Lebanon,"626,926",,"8,363 ",,"599,037",,"19,526",200,"92,373","1,232"
50,50,Georgia,"623,830","+2,410","9,134 ",+24,"594,669","+1,516","20,027",,"156,760","2,295"
51,51,Guatemala,"570,453",,"13,730 ",,"532,435",,"24,288",5,"31,117",749
52,52,Belarus,"549,817","+1,991","4,228 ",+16,"526,648","+1,504","18,941",,"58,210",448
53,53,Saudi Arabia,"547,357",,"8,730 ",,"536,406",,"2,221",164,"15,420",246
54,54,Costa Rica,"539,422",,"6,522 ",,"450,535",,"82,365",444,"104,687","1,266"
55,55,Sri Lanka,"522,002",,"13,142 ",,"477,851",,"31,009",,"24,249",611
56,56,Bulgaria,"511,666",,"21,320 ",,"442,488",,"47,858",460,"74,343","3,098"
57,57,Ecuador,"510,954",,"32,805 ",,"443,880",,"34,269",759,"28,418","1,825"
58,58,Bolivia,"502,047",+431,"18,770 ",+4,"462,437",+479,"20,840",220,"42,283","1,581"
59,59,Azerbaijan,"487,204",,"6,599 ",,"467,043",,"13,562",,"47,512",644
60,60,Myanmar,"471,308",,"17,957 ",,"425,447",,"27,904",,"8,590",327
61,61,Panama,"468,114",,"7,250 ",,"457,939",,"2,925",49,"106,384","1,648"
62,62,Paraguay,"460,084",,"16,204 ",,"443,509",,371,14,"63,523","2,237"
63,63,Slovakia,"419,473","+1,971","12,697 ",+7,"392,292","+1,166","14,484",159,"76,785","2,324"
64,64,Kuwait,"411,904",,"2,452 ",,"408,779",,673,8,"94,690",564
65,65,Croatia,"409,992",,"8,704 ",,"393,375",,"7,913",107,"100,653","2,137"
66,66,Palestine,"409,489",,"4,170 ",,"382,362",,"22,957",73,"77,992",794
67,67,Ireland,"395,643",,"5,249 ",,"351,570",,"38,824",65,"79,015","1,048"
68,68,Uruguay,"389,363",,"6,059 ",,"382,150",,"1,154",8,"111,601","1,737"
69,69,Venezuela,"376,311",,"4,539 ",,"357,339",,"14,433",681,"13,281",160
70,70,Honduras,"368,654",+330,"9,913 ",+34,"111,654",+230,"247,087",362,"36,490",981
71,71,Dominican Republic,"362,103",,"4,056 ",,"351,344",,"6,703",198,"32,964",369
72,72,Denmark,"360,888",,"2,664 ",,"352,568",,"5,656",13,"62,031",458
73,73,Ethiopia,"350,204",,"5,811 ",,"318,007",,"26,386",749,"2,954",49
74,74,Libya,"343,932",+692,"4,720 ",+10,"266,348","+1,324","72,864",,"49,211",675
75,75,Lithuania,"342,827","+2,556","5,134 ",+14,"310,690","+1,365","27,003",200,"128,191","1,920"
76,76,S. Korea,"323,379","+2,027","2,536 ",+12,"287,040","+2,843","33,803",354,"6,301",49
77,77,Mongolia,"317,010","+2,409","1,376 ",+14,"293,597",,"22,037",192,"94,780",411
78,78,Egypt,"308,347",,"17,508 ",,"260,540",,"30,299",90,"2,943",167
79,79,Oman,"303,866",,"4,100 ",,"299,119",,647,10,"57,662",778
80,80,Moldova,"299,843",,"6,901 ",,"282,862",,"10,080",257,"74,548","1,716"
81,81,Slovenia,"298,270","+1,208","4,597 ",+8,"281,673","+1,178","12,000",79,"143,447","2,211"
82,82,Bahrain,"275,349",,"1,390 ",,"273,368",,591,3,"155,061",783
83,83,Armenia,"267,363","+1,155","5,440 ",+21,"245,757",+381,"16,166",,"90,014","1,832"
84,84,Kenya,"250,380",,"5,150 ",,"243,064",,"2,166",51,"4,531",93
85,85,Bosnia and Herzegovina,"237,750",,"10,773 ",,"192,218",,"34,759",,"73,040","3,310"
86,86,Qatar,"237,048",,606 ,,"235,402",,"1,040",14,"84,425",216
87,87,Zambia,"209,199",,"3,650 ",,"205,233",,316,20,"10,993",192
88,88,Nigeria,"206,561",,"2,731 ",,"194,475",,"9,355",11,972,13
89,89,Algeria,"204,046",,"5,831 ",,"139,806",,"58,409",15,"4,550",130
90,90,North Macedonia,"193,052",,"6,740 ",,"175,496",,"10,816",,"92,668","3,235"
91,91,Norway,"191,599",,861 ,,"88,952",,"101,786",17,"34,998",157
92,92,Botswana,"180,197",,"2,374 ",,"175,854",,"1,969",1,"74,730",985
93,93,Kyrgyzstan,"178,932",+80,"2,612 ",+2,"173,712",+90,"2,608",131,"26,868",392
94,94,Uzbekistan,"176,477",+458,"1,255 ",+4,"171,825",+663,"3,397",23,"5,178",37
95,95,Albania,"172,618",,"2,725 ",,"161,497",,"8,396",3,"60,065",948
96,96,Latvia,"164,801","+1,671","2,773 ",+16,"149,252","+1,148","12,776",59,"88,608","1,491"
97,97,Estonia,"160,832","+1,046","1,383 ",+4,"146,876",+916,"12,573",22,"121,140","1,042"
98,98,Afghanistan,"155,380",+40,"7,220 ",+4,"125,636",+174,"22,524","1,124","3,882",180
99,99,Mozambique,"150,826",,"1,919 ",,"147,605",,"1,302",32,"4,662",59
100,100,Finland,"144,665",+666,"1,062 ",,"46,000",,"97,603",33,"26,058",191
101,101,Montenegro,"133,415",,"1,954 ",,"125,554",,"5,907",,"212,388","3,111"
102,102,Zimbabwe,"131,205",,"4,627 ",,"123,947",,"2,631",12,"8,669",306
103,103,Namibia,"127,923",,"3,517 ",,"123,191",,"1,215",11,"49,224","1,353"
104,104,Ghana,"127,878",,"1,157 ",,"123,669",,"3,052",42,"4,010",36
105,105,Uganda,"124,098",,"3,163 ",,"96,179",,"24,756",259,"2,610",67
106,106,Cyprus,"119,039",,557 ,,"90,755",,"27,727",24,"97,699",457
107,107,Australia,"117,826","+2,026","1,379 ",+22,"89,905",,"26,542",296,"4,554",53
108,108,Cambodia,"113,924",+221,"2,431 ",+13,"105,793",+443,"5,700",,"6,697",143
109,109,Singapore,"109,804",,130 ,,"86,211",,"23,463",34,"18,585",22
110,110,El Salvador,"104,348",,"3,327 ",+15,"86,851",,"14,170",127,"15,986",510
111,111,Rwanda,"98,077",,"1,290 ",,"45,488",,"51,299",6,"7,344",97
112,112,Cameroon,"92,303",,"1,459 ",,"80,433",,"10,411",152,"3,372",53
113,113,Maldives,"85,198",,232 ,,"83,574",,"1,392",23,"154,200",420
114,114,Jamaica,"85,163",,"1,936 ",,"53,538",,"29,689",34,"28,603",650
115,115,Luxembourg,"78,620",,835 ,,"76,574",,"1,211",8,"123,077","1,307"
116,116,Senegal,"73,816",+10,"1,862 ",+2,"71,901",+13,53,6,"4,267",108
117,117,Malawi,"61,629",,"2,286 ",,"56,029",,"3,314",67,"3,120",116
118,118,Ivory Coast,"60,481",,652 ,,"58,474",,"1,355",,"2,224",24
119,119,Angola,"59,895",,"1,587 ",,"48,618",,"9,690",27,"1,754",46
120,120,DRC,"57,034",,"1,086 ",,"30,858",,"25,090",,613,12
121,121,Réunion,"53,963",,369 ,,"53,256",,338,33,"59,736",408
122,122,Guadeloupe,"53,585",,708 ,,"2,250",,"50,627",23,"133,892","1,769"
123,123,Trinidad and Tobago,"51,605",,"1,516 ",,"45,860",,"4,229",22,"36,724","1,079"
124,124,Fiji,"51,273",,638 ,,"41,251",,"9,384",7,"56,679",705
125,125,Eswatini,"46,152",,"1,226 ",,"44,434",,492,10,"39,269","1,043"
126,126,Madagascar,"42,898",,958 ,,"41,322",,618,3,"1,501",34
127,127,Suriname,"42,716",,919 ,,"26,975",,"14,822",22,"72,003","1,549"
128,128,French Guiana,"41,713",,280 ,,"9,995",,"31,438",32,"135,254",908
129,129,Martinique,"41,129",,608 ,,104,,"40,417",1,"109,707","1,622"
130,130,French Polynesia,"40,178",,624 ,,"33,500",,"6,054",21,"141,995","2,205"
131,131,Sudan,"38,632",,"2,909 ",,"32,169",,"3,554",,856,64
132,132,Cabo Verde,"37,718",,345 ,,"36,888",,485,23,"66,925",612
133,133,Malta,"37,246",,459 ,,"36,099",,688,,"84,072","1,036"
134,134,Mauritania,"36,229",,782 ,,"34,951",,496,22,"7,543",163
135,135,Syria,"35,609",,"2,297 ",,"24,166",,"9,146",,"1,974",127
136,136,Guyana,"32,701",,807 ,,"28,246",,"3,648",31,"41,324","1,020"
137,137,Gabon,"31,058",,194 ,,"27,048",,"3,816",25,"13,552",85
138,138,Guinea,"30,452",,383 ,,"28,990",,"1,079",24,"2,242",28
139,139,Laos,"25,987",,22 ,,"5,568",,"20,397",,"3,508",3
140,140,Tanzania,"25,957",,723 ,,N/A,N/A,N/A,7,420,12
141,141,Togo,"25,623",,234 ,,"23,796",,"1,593",,"3,007",27
142,142,Benin,"23,890",,159 ,,"21,993",,"1,738",5,"1,908",13
143,143,Haiti,"22,273",,629 ,,"19,779",,"1,865",,"1,924",54
144,144,Belize,"21,685",,424 ,,"18,749",,"2,512",10,"53,319","1,043"
145,145,Seychelles,"21,538",,116 ,,"21,172",,250,,"217,305","1,170"
146,146,Papua New Guinea,"21,365",,234 ,,"18,682",,"2,449",7,"2,332",26
147,147,Lesotho,"21,363",,650 ,,"11,607",,"9,106",,"9,874",300
148,148,Bahamas,"21,312",,557 ,,"19,172",,"1,583",15,"53,551","1,400"
149,149,Somalia,"20,577",,"1,137 ",,"9,705",,"9,735",,"1,251",69
150,150,Mayotte,"20,337",,180 ,,"2,964",,"17,193",,"72,352",640
151,151,Timor-Leste,"19,609",,119 ,,"19,050",,440,,"14,525",88
152,152,Burundi,"18,600",,38 ,,773,,"17,789",,"1,508",3
153,154,Curaçao,"16,650",,165 ,,"16,134",,351,4,"100,946","1,000"
154,155,Taiwan,"16,267",+5,844 ,,"15,271",+12,152,,681,35
155,156,Mauritius,"16,083",,100 ,,"1,854",,"14,129",,"12,620",78
156,157,Aruba,"15,560",,168 ,,"15,231",,161,7,"144,964","1,565"
157,158,Mali,"15,337",,551 ,,"14,332",,454,,731,26
158,159,Andorra,"15,271",,130 ,,"15,043",,98,4,"197,246","1,679"
159,160,Nicaragua,"15,134",,205 ,,"4,225",,"10,704",,"2,251",30
160,161,Congo,"14,561",,199 ,,"12,421",,"1,941",,"2,560",35
161,162,Burkina Faso,"14,356",,191 ,,"13,957",,208,,664,9
162,163,Djibouti,"13,057",,174 ,,"12,497",,386,,"12,978",173
163,164,Equatorial Guinea,"12,532",,150 ,,"11,296",,"1,086",1,"8,579",103
164,165,Hong Kong,"12,244",+6,213 ,,"11,935",+4,96,,"1,617",28
165,166,South Sudan,"12,080",,130 ,,"11,617",,333,2,"1,063",11
166,167,Iceland,"11,990",,33 ,,"11,596",,361,1,"34,851",96
167,168,Channel Islands,"11,737",,97 ,,"11,350",,290,,"66,733",552
168,169,Saint Lucia,"11,709",,209 ,,"10,093",,"1,407",13,"63,400","1,132"
169,170,CAR,"11,385",,100 ,,"6,859",,"4,426",2,"2,307",20
170,171,Gambia,"9,935",,338 ,,"9,589",,8,3,"3,971",135
171,172,Barbados,"9,523",,84 ,,"8,513",,926,,"33,087",292
172,173,Yemen,"9,234",,"1,748 ",,"5,806",,"1,680",23,301,57
173,174,New Caledonia,"8,506",,165 ,,57,,"8,284",54,"29,437",571
174,175,Brunei ,"8,044",,60 ,,"5,634",,"2,350",32,"18,168",136
175,176,Isle of Man,"7,770",,52  ,,"7,316",,402,1,"90,771",607
176,177,Eritrea,"6,725",,42 ,,"6,663",,20,,"1,864",12
177,178,Sierra Leone,"6,396",,121 ,,"4,390",,"1,885",,782,15
178,179,Guinea-Bissau,"6,112",,135 ,,"5,341",,636,4,"3,016",67
179,180,Niger,"6,057",,204 ,,"5,783",,70,,239,8
180,181,Liberia,"5,799",,286 ,,"5,458",,55,2,"1,114",55
181,182,Gibraltar,"5,590",,97 ,,"5,405",,88,3,"165,984","2,880"
182,183,Grenada,"5,484",+50,165 ,+3,"4,622",+111,697,,"48,454","1,458"
183,184,San Marino,"5,444",,91 ,,"5,330",,23,2,"160,019","2,675"
184,185,Bermuda,"5,419",,82 ,,"4,231",,"1,106",1,"87,420","1,323"
185,186,Chad,"5,049",,174 ,,"4,861",,14,,297,10
186,187,New Zealand,"4,450",+42,27 ,,"4,073",,350,5,890,5
187,188,Sint Maarten,"4,355",,68 ,,"4,150",,137,10,"100,140","1,564"
188,189,Comoros,"4,156",,147 ,,"3,981",,28,,"4,655",165
189,190,St. Vincent Grenadines,"3,838",,33 ,,"2,526",,"1,279",2,"34,457",296
190,191,Dominica,"3,786",,22 ,,"3,310",,454,,"52,430",305
191,192,Saint Martin,"3,748",,55 ,,"1,399",,"2,294",7,"94,898","1,393"
192,193,Sao Tome and Principe,"3,564",,55 ,,"2,879",,630,,"15,891",245
193,194,Antigua and Barbuda,"3,518",,85 ,,"2,315",,"1,118",9,"35,553",859
194,195,Liechtenstein,"3,453",+2,60 ,,"3,375",+4,18,3,"90,237","1,568"
195,196,Monaco,"3,324",,33 ,,"3,266",,25,2,"83,956",834
196,197,Turks and Caicos,"2,875",,23 ,,"2,793",,59,1,"73,014",584
197,198,British Virgin Islands,"2,642",,37  ,,"2,555",,50,7,"86,668","1,214"
198,199,Bhutan,"2,613",,3 ,,"2,598",,12,,"3,340",4
199,200,Caribbean Netherlands,"2,168",,19 ,,"1,988",,161,,"81,719",716
200,201,Saint Kitts and Nevis,"2,073",,16 ,,"1,012",,"1,045",1,"38,623",298
201,202,St. Barth,"1,578",,4 ,,462,,"1,112",,"159,153",403
202,203,Faeroe Islands,"1,237",,2 ,,"1,116",,119,,"25,195",41
203,204,Cayman Islands,920,,2 ,,790,,128,,"13,795",30
204,206,Greenland,595,, ,,537,,58,2,"10,458",
205,207,Anguilla,453,,1 ,,413,,39,,"29,858",66
206,209,Macao,75,, ,,64,,11,,114,
207,210,Falkland Islands,67,, ,,63,,4,,"18,575",
208,211,Montserrat,40,,1 ,,31,,8,,"8,006",200
209,212,Saint Pierre Miquelon,32,, ,,31,,1,,"5,557",
210,215,Western Sahara,10,,1 ,,8,,1,,16,2
211,223,China,"96,310",+26,"4,636 ",,"90,836",+44,838,2,67,3
212,Total:,"236,676,969","+104,748","4,833,313","+2,636","213,781,105","+79,330","18,062,551","85,244","30,363.4",620.1,
